unique_id,synapse_id,bouton,x_coord,y_coord,pr_total,pr_before,pr_after,unc_sum,brp_sum,unc_norm,brp_norm,ranking,genotype,nmj_id,treatment
167,167,1,1588.305279,227.1100907,0.327014218,0.230769231,0.4,4384102,20489929,0.975309927,0.80339402,1,'WT','PdBU_20','PdBU'
168,168,1,1612.431843,317.763265,0.383886256,0.461538462,0.325,1092703,12016829,0.243088341,0.471170425,1,'WT','PdBU_20','PdBU'
169,169,1,1631.030621,211.1828263,0.374407583,0.351648352,0.391666667,2072296,17663904,0.461013649,0.6925878,0,'WT','PdBU_20','PdBU'
170,170,1,1643.618183,239.828037,0.151658768,0.120879121,0.175,2307366,11602659,0.513308533,0.454931145,1,'WT','PdBU_20','PdBU'
171,171,1,1662.648414,213.0947938,0.180094787,0.076923077,0.258333333,1230779,7662612,0.27380544,0.300444997,1,'WT','PdBU_20','PdBU'
172,172,1,1683.96865,102.3928886,0.161137441,0.131868132,0.183333333,2923947,15604155,0.65047632,0.61182666,0,'WT','PdBU_20','PdBU'
173,173,1,1692.311755,113.0151906,0.09478673,0.065934066,0.116666667,1742795,13589453,0.387711158,0.532831777,0,'WT','PdBU_20','PdBU'
174,174,1,1717.756273,100.0205314,0.957345972,0.758241758,1.108333333,3161768,18866968,0.703383206,0.739758994,0,'WT','PdBU_20','PdBU'
175,175,1,1727.449563,131.820352,0.09478673,0.087912088,0.1,1505497,12521200,0.334920622,0.490946416,0,'WT','PdBU_20','PdBU'
176,176,1,1730.339245,149.5259436,0.142180095,0.076923077,0.191666667,784432,7767246,0.174508786,0.304547614,1,'WT','PdBU_20','PdBU'
177,177,1,1731.99153,179.1185894,0.151658768,0.076923077,0.208333333,1270550,8102685,0.282653102,0.317699914,1,'WT','PdBU_20','PdBU'
178,178,1,1762.71523,141.583524,0.104265403,0.032967033,0.158333333,1594446,10371451,0.354708675,0.406656446,0,'WT','PdBU_20','PdBU'
179,1,1,1180.096289,1993.859821,0.333333333,0.221311475,0.446280992,3142169,16769998,0.709250321,0.487495024,0,'WT','PdBU_23','PdBU'
180,2,1,1188.959808,1992.693769,0.069958848,0.040983607,0.099173554,2693407,17659896,0.607955772,0.513363891,0,'WT','PdBU_23','PdBU'
181,3,1,1189.914061,2024.404784,0.205761317,0.131147541,0.280991736,3606616,21490123,0.814085288,0.624706576,0,'WT','PdBU_23','PdBU'
182,4,1,1195.08882,2034.508774,0.534979424,0.418032787,0.652892562,3606616,21490123,0.814085288,0.624706576,0,'WT','PdBU_23','PdBU'
183,5,1,1207.435148,1982.582525,0.127572016,0.081967213,0.173553719,4051850,20862550,0.914583497,0.606463359,0,'WT','PdBU_23','PdBU'
184,6,1,1208.502429,1999.12718,0.119341564,0.081967213,0.157024793,2276411,17067217,0.513831443,0.496135024,0,'WT','PdBU_23','PdBU'
185,7,1,1320.882494,1985.172266,1.098765432,0.950819672,1.247933884,1204649,10612334,0.271913347,0.30849497,1,'WT','PdBU_23','PdBU'
